open,high,low,close,volume
85.67,87.81,84.08,86.78,4469980
86.78,87.06,82.56,83.6,3272085
83.6,84.15,81.36,82.82,4881423
82.82,83.99,82.27,83.49,2575924
83.49,83.84,77.97,78.91,4393751
78.91,79.97,78.16,79.43,1466841
79.43,80.19,78.19,79.47,1350684
79.47,81.53,79.08,81.44,4653286
81.44,83.17,81.31,81.55,4982904
81.55,85.53,79.93,83.91,4259217
83.91,84.36,80.06,81.5,1124933
81.5,84.53,79.78,83.16,4879849
83.16,84.66,79.03,80.17,4481495
80.17,83.47,78.88,81.7,2157839
81.7,85.61,80.69,85.12,4720626
85.12,85.66,81.6,83.3,1603644
83.3,84.68,83.02,84.58,1082922
84.58,87.02,82.79,85.94,2225583
85.94,87.11,83.66,84.73,2267138
84.73,87.92,84.1,86.68,4335315
86.68,87.23,85.08,87.01,2841502
87.01,87.85,86.56,87.12,1047133
87.12,88.74,85.39,87.81,4484996
87.81,88.27,84.66,85.13,1312652
85.13,86.49,84.22,85.6,3822843
85.6,87.22,85.02,85.31,834073
85.31,87.26,84.36,86.1,1968228
86.1,88.79,85.23,88.48,4116033
88.48,89.73,86.73,88.52,1282238
88.52,92.42,87.71,92.11,3777444
92.11,92.32,89.23,89.67,2251695
89.67,90.8,88.55,88.68,1467305
88.68,90.37,87.05,89.66,3161276
89.66,89.95,84.11,84.71,2917155
84.71,87.0,83.88,85.26,1741166
85.26,89.76,84.5,88.43,3550513
88.43,89.66,82.45,83.74,2493677
83.74,85.39,80.83,82.56,4930216
82.56,83.28,81.18,82.82,4630073
82.82,84.05,81.94,83.04,1600366
83.04,84.52,82.32,83.24,3244577
83.24,87.02,82.41,85.28,4705694
85.28,87.93,84.25,87.63,3299008
87.63,88.55,85.56,86.02,1741837
86.02,90.62,85.45,90.24,3041669
90.24,92.02,89.21,90.71,1803545
90.71,92.77,90.58,91.27,2062435
91.27,94.82,90.04,93.0,4608873
93.0,94.27,91.5,93.32,989760
93.32,93.48,91.79,92.95,3404608
92.95,93.41,89.71,90.16,1000000
89.71,94.82,89.26,94.34,1500000
