open,high,low,close,volume
174.09,174.91,164.11,166.94,2206081
166.94,169.6,159.82,163.78,2342491
163.78,166.65,154.44,154.96,2893402
154.96,165.77,152.46,162.65,4575600
162.65,167.4,160.5,165.17,938724
165.17,168.51,159.45,160.21,3773704
160.21,165.26,157.96,161.6,4552986
161.6,161.8,158.11,158.99,1458544
158.99,165.25,157.95,161.54,2176828
161.54,170.44,157.75,167.19,1655067
167.19,172.32,165.49,171.5,4574742
171.5,177.66,170.89,174.72,2701157
174.72,175.55,171.25,172.74,1239108
172.74,176.86,167.4,169.66,3103973
169.66,170.1,164.92,167.86,3963507
167.86,169.88,163.15,164.5,3888592
164.5,166.95,160.74,162.89,1467846
162.89,163.96,161.27,163.14,4188367
163.14,163.95,159.36,159.93,4352507
159.93,163.8,156.12,159.06,2260733
159.06,162.46,152.93,155.96,2962193
155.96,163.08,154.65,159.36,3300932
159.36,160.95,155.89,157.19,4693715
157.19,160.02,153.76,154.21,2586565
154.21,157.25,143.58,147.17,581442
147.17,150.71,140.86,143.13,3469016
143.13,145.13,140.13,140.86,4052411
140.86,144.57,135.67,137.23,1686413
137.23,139.63,130.2,131.69,3065459
131.69,133.2,124.31,127.43,3746655
127.43,135.03,125.19,133.83,664879
133.83,135.79,132.38,133.14,1856523
133.14,137.65,129.97,134.69,2601648
134.69,136.13,132.31,133.97,2107187
133.97,135.08,132.22,133.37,3104082
133.37,135.04,129.54,132.31,2594607
132.31,133.93,127.93,128.84,4886978
128.84,130.1,127.98,129.39,2806208
129.39,133.36,127.83,131.17,1816468
131.17,134.76,129.8,132.04,2928450
132.04,140.0,130.91,137.9,3844946
137.9,140.28,133.07,135.41,3297818
135.41,141.11,134.43,138.69,3937987
138.69,149.23,137.14,148.05,4956073
148.05,149.74,147.49,147.9,3798992
147.9,156.0,147.71,153.65,2157286
153.65,157.33,153.18,153.85,2825149
153.85,157.28,152.22,153.37,878627
153.37,155.76,147.19,148.5,945978
148.5,151.75,145.9,151.36,3638713
151.36,152.12,146.09,146.82,1000000
146.09,154.4,145.35,153.63,1500000
