open,high,low,close,volume
226.63,232.46,223.58,229.42,4968281
229.42,238.5,226.94,233.55,4590290
233.55,235.01,229.41,232.27,3757619
232.27,236.87,216.71,222.39,3956502
222.39,225.23,209.63,214.29,882494
214.29,214.53,208.59,209.73,3129031
209.73,215.32,206.09,212.21,3804313
212.21,216.45,207.12,210.45,4776268
210.45,217.59,205.06,216.8,1060889
216.8,223.05,212.21,219.72,4478793
219.72,228.67,219.17,227.48,3563116
227.48,232.22,225.71,230.32,1009098
230.32,231.2,223.24,227.7,1132042
227.7,229.43,217.73,222.14,2732739
222.14,223.69,213.88,215.45,4539081
215.45,222.05,213.86,221.08,3685931
221.08,224.9,219.52,222.58,2134593
222.58,223.5,219.72,222.97,2834664
222.97,234.97,221.93,229.1,2488154
229.1,239.3,225.01,233.51,4996160
233.51,240.63,229.18,235.75,4860687
235.75,241.9,233.41,239.7,1435241
239.7,245.44,234.23,234.79,4720113
234.79,236.2,229.57,231.79,4066510
231.79,237.23,217.99,221.91,4399369
221.91,222.32,214.2,217.09,2673766
217.09,221.12,210.59,213.11,3911452
213.11,223.13,211.42,218.22,4985104
218.22,218.55,205.12,208.23,3442798
208.23,211.72,197.54,201.27,3733156
201.27,211.32,196.98,209.02,1787988
209.02,214.35,202.65,206.76,552756
206.76,211.72,199.57,203.57,4133623
203.57,204.23,199.6,200.44,1691376
200.44,201.56,196.82,198.88,603467
198.88,211.6,198.35,206.25,3499600
206.25,213.17,201.12,209.48,2971471
209.48,209.86,204.61,205.06,579179
205.06,206.14,199.4,203.51,1571379
203.51,206.09,201.26,204.17,1891629
204.17,217.27,203.82,215.72,1397558
215.72,221.19,204.45,208.81,3868486
208.81,212.82,204.72,209.9,1229825
209.9,212.2,204.41,210.96,2898191
210.96,218.71,208.8,218.46,4774074
218.46,223.57,211.28,213.49,3438672
213.49,215.12,210.04,212.43,3522691
212.43,217.16,208.42,212.69,3038607
212.69,214.79,200.8,203.07,3605636
203.07,203.66,198.82,200.0,4688821
200.0,207.03,199.0,206.0,1000000
207.03,208.07,196.01,197.0,1500000
