open,high,low,close,volume
178.28,181.07,175.7,176.17,4954395
176.17,179.47,173.99,178.5,4315713
178.5,181.16,176.29,180.24,3251740
180.24,182.36,179.47,181.84,2920261
181.84,183.74,180.33,180.79,4245134
180.79,183.96,179.91,181.85,3803845
181.85,182.11,178.56,180.45,3821332
180.45,181.98,176.86,178.38,1113391
178.38,179.76,174.4,174.66,3928353
174.66,176.17,171.16,172.48,635967
172.48,173.99,168.73,169.64,2365752
169.64,175.63,167.4,173.51,4528595
173.51,175.82,172.62,173.77,869951
173.77,176.19,165.06,167.49,4748998
167.49,168.47,164.91,166.13,3034050
166.13,172.04,165.06,169.38,557241
169.38,172.09,169.06,171.14,611824
171.14,171.58,169.61,170.8,3366156
170.8,174.97,169.66,173.66,3134218
173.66,177.54,171.56,174.96,3458116
174.96,176.11,171.6,172.36,594760
172.36,174.86,168.98,171.66,2896491
171.66,172.7,167.54,168.04,4040260
168.04,169.39,167.23,169.04,4945071
169.04,170.15,164.72,166.91,2930819
166.91,167.74,164.89,166.51,4815188
166.51,167.51,164.23,165.88,833898
165.88,166.35,161.19,163.6,2428857
163.6,168.75,161.26,166.1,1537440
166.1,171.35,164.14,170.39,3500996
170.39,173.0,167.44,168.61,2951339
168.61,171.73,166.06,169.42,2079954
169.42,173.9,168.11,171.43,850527
171.43,174.1,170.87,172.78,4027231
172.78,175.56,171.11,173.53,2235000
173.53,177.81,171.71,177.0,4379418
177.0,178.29,169.96,171.25,4435490
171.25,172.29,167.95,169.67,1836019
169.67,170.87,168.82,170.15,4879819
170.15,170.68,168.04,170.34,2351793
170.34,171.29,168.59,171.08,3770305
171.08,173.45,167.78,169.93,3219478
169.93,171.79,168.42,170.89,1408361
170.89,173.53,169.18,169.91,600719
169.91,172.02,162.7,164.96,1827798
164.96,166.73,163.02,164.37,2019170
164.37,167.87,161.97,166.59,1567901
166.59,167.54,164.38,166.18,2939785
166.18,168.59,162.43,164.44,2492603
164.44,164.91,163.68,164.14,1208813
164.14,167.42,160.86,164.16,1000000
